"","UTC_START_TIME","LOCATIONID","USAGE"
"539","2016-09-20 04:00:00.0","18594",4.996
"540","2016-09-21 04:00:00.0","18594",4.47
"541","2016-09-22 04:00:00.0","18594",3.289
"542","2016-09-23 04:00:00.0","18594",5.105
"543","2016-09-24 04:00:00.0","18594",9.763
"544","2016-09-25 04:00:00.0","18594",8.247
"545","2016-09-26 04:00:00.0","18594",4.491
"546","2016-09-27 04:00:00.0","18594",4.121
"547","2016-09-28 04:00:00.0","18594",4.484
"548","2016-09-29 04:00:00.0","18594",3.848
"549","2016-09-30 04:00:00.0","18594",4.114
"550","2016-10-01 04:00:00.0","18594",9.067
"551","2016-10-02 04:00:00.0","18594",8.905
"552","2016-10-03 04:00:00.0","18594",5.052
"553","2016-10-04 04:00:00.0","18594",3.081
"554","2016-10-05 04:00:00.0","18594",4.319
